species,rep,Apre,gspre,Epre,PARpre,Asat,gssat,gsmax,gsrelk,Esat,PARsat,Tleaf,VPDpre,VPDsat,MPa,treatment,date,ld,maxvalue,LA
Eme,4,3.61,0.03,0.43,99.68,5.04,0.04,0.4,0.1,0.59,1499.87,24.99,1.27,1.48,1.22,d,19/01/2017,,N,6
Eme,5,3.57,0.03,0.39,100.04,4.88,0.03,0.4,0.08,0.51,1499.09,24.95,1.24,1.51,1.48,d,19/01/2017,,N,6
Eme,19,4.6,0.06,0.76,130.6,8.03,0.07,0.4,0.18,1,1499.7,25.32,1.3,1.52,1.9,d,19/01/2017,,N,6
Eme,6,0.08,0.01,0.13,940.74,0.23,0.01,0.4,0.03,0.14,1498.98,25.63,1.13,1.12,2.81,d,13/01/2017,,N,6
Eme,9,2.12,0.02,0.13,440.15,1.65,0.02,0.4,0.05,0.15,1499.36,25.39,0.81,0.79,3.45,d,23/01/2017,,N,6
Eme,8,4.18,0.08,0.72,75.38,11.84,0.1,0.4,0.25,1.24,1499.09,25.87,0.93,1.26,1.28,w,31/01/2017,ld,N,6
Eme,19,0.8,0.01,0.06,119.6,0.64,0.01,0.4,0.03,0.09,1498.65,26.64,1.13,1.46,4.97,d,NA,,N,6
Eme,7,5.99,0.05,0.53,170.98,6.64,0.04,0.4,0.1,0.57,1499.44,26.78,1,1.37,2.01,d,NA,,N,6
Eme,8,5.56,0.08,1.46,131.22,9.57,0.1,0.4,0.25,2.12,1499.43,33.2,1.84,2.18,1.81,d,31/01/2017,,N,6
Eme,4,-0.19,0,0.03,160.82,0.07,0,0.4,0,0.08,1499.31,33.77,2.2,2.66,4.14,d,31/01/2017,,N,6
Eme,5,-0.29,0,0.03,130.76,0.06,0,0.4,0,0.09,1499.47,33.37,2.14,2.59,3.53,d,31/01/2017,,N,6
Esi,10,1.43,0.07,0.39,49.92,28.05,0.09,0.4,0.23,0.56,1498.76,26.52,0.53,0.6,0.82,d,10/01/2017,,N,6
Esi,14,10.51,0.23,1.87,231.39,21.51,0.26,0.4,0.65,2.37,1498.9,27.07,0.87,0.97,0.42,d,10/01/2017,,Y,6
Esi,20,12.96,0.34,3.53,229.46,28.87,0.39,0.4,0.98,4.32,1498.56,27.29,1.12,1.23,0.84,w,10/01/2017,,Y,6
Esi,16,12.48,0.16,2.41,241.32,25.02,0.17,0.4,0.43,2.72,1498.9,29,1.55,1.67,0.98,w,10/01/2017,ld,Y,6
Esi,2,13.66,0.08,1.2,171.28,24.57,0.09,0.4,0.23,1.5,1499.95,28.76,1.42,1.63,0.88,w,11/01/2017,ld,N,6
Esi,14,14.59,0.35,4.38,490.79,20.16,0.4,0.4,1,5.06,1498.47,29.24,1.36,1.41,0.98,d,11/01/2017,,Y,6
Esi,1,11.98,0.04,0.8,441.05,14.29,0.05,0.4,0.13,0.98,1499.28,31.22,1.82,2.02,1.2,d,11/01/2017,,N,6
Esi,24,7.66,0.05,0.95,460.63,14.03,0.06,0.4,0.15,1.28,1499.22,32.42,1.75,2.05,1.21,d,11/01/2017,,N,6
Esi,15,5.5,0.04,0.6,121.05,13.16,0.05,0.4,0.13,0.81,1498.99,27.52,1.44,1.74,1.76,d,12/01/2017,,N,6
